id,name,ostan,shahrestan,bakhsh
1668,طیبی گرمسیری شمالی,23,367,938
1669,عالی طیب,23,367,938
1670,عبا س  شرقی,1,71,145
1671,عباس غربی,1,71,145
1672,عبدلیه شرقی,13,196,845
1673,عبدلیه غربی,13,196,845
1674,عثمانوند,22,329,436
1675,عرب داغ,24,332,131
1676,عربخانه,10,416,388
1677,عزیزآباد,21,407,969
1678,عزیزک,27,55,108
1679,عسگریه,8,109,988
1680,عسلویه,7,284,939
1681,عشایر,4,296,891
1682,عشرستاق,27,94,1069
1683,عشق آباد,11,419,1019
1684,عظیمیه,8,200,733
1685,عقدا,31,22,416
1686,عقیلی جنوبی,13,347,417
1687,عقیلی شمالی,13,347,417
1688,علامرودشت,17,363,418
1689,علویه,17,133,473
1690,علی آباد,27,307,595
1691,علی آباد,1,427,800
1692,علی آباد,17,133,232
1693,علی آباد,21,286,632
1694,علی آباد زیبا کنار,25,204,551
1695,علی آبادملک,17,25,870
1696,علی اباد,31,116,712
1697,علی جمال,10,74,995
1698,علیا,4,21,885
1699,علیشار,28,219,224
1700,علیشروان,6,52,367
1701,علیصدر,30,325,523
1702,عمادده,17,361,401
1703,عناقچه,13,62,850
1704,عنبر,13,381,420
1705,عنبران,3,412,421
1706,عوالان,20,324,1008
1707,غرب کارون,13,156,833
1708,غربی,3,20,147
1709,غزالی,11,419,1019
1710,غلامان,12,194,422
1711,غنی آباد,8,200,733
1712,غنی بیگلو,14,221,308
1713,غیزانیه,13,48,423
1714,غیناب,10,234,773
1715,فارغان,29,145,424
1716,فاروج,12,288,769
1717,فاریاب,29,209,725
1718,فال,17,393,531
1719,فامور,17,321,158
1720,فتح آباد,22,314,818
1721,فتح آباد,17,319,873
1722,فتح آباد,17,338,413
1723,فتح آباد,21,59,621
1724,فتح آباد,31,147,718
1725,فتویه,29,72,727
1726,فجر,31,434,714
1727,فجر,24,359,759
1728,فخررود,10,175,457
1729,فداغ,17,349,880
1730,فدشکوییه,17,299,394
1731,فراغه,31,16,716
1732,فراغی,24,115,755
1733,فرامرزان,29,72,170
1734,فرح آباد جنوبی,27,224,284
1735,فرح آباد شمالی,27,224,284
1736,فرخ آباد,5,294,1000
1737,فردو,19,317,511
1738,فردوس,21,207,427
1739,فردوس,8,272,175
1740,فردیس,5,294,963
1741,فرسش,26,41,76
1742,فرمشکان,17,338,881
1743,فرمهین,28,292,790
1744,فروان,15,6,512
1745,فروغن,11,228,277
1746,فرومد,15,397,949
1747,فرون آباد,8,103,738
1748,فریم,27,224,258
1749,فریمان,11,298,651
1750,فسارود,17,170,858
1751,فش,22,337,819
1752,فشارود,10,97,771
1753,فشک,28,292,790
1754,فضل,11,419,647
1755,فضل,30,415,305
1756,فلارد,9,365,429
1757,فندرسک جنوبی,24,198,430
1758,فندرسک شمالی,24,198,430
1759,فنوج,16,301,913
1760,فورگ,17,170,432
1761,فولادلوی جنوبی,3,20,1067
1762,فولادلوی شمالی,3,20,1067
1763,فهرج,21,303,968
1764,فهرج,31,434,714
1765,فهلیان,17,388,866
1766,فیرورق جنوبی,2,166,433
1767,فیرورق شمالی,2,166,433
1768,فیروزآباد,26,243,435
1769,فیروزبهرام,8,33,203
1770,فیروزجاه,27,54,96
1771,فیروزه,11,306,972
1772,فیشور,17,361,55
1773,فیضیه,27,54,589
1774,فیلستان,8,103,738
1775,فین,29,80,437
1776,قایم آباد,8,272,735
1777,قاین,10,308,774
1778,قاسم آباد,21,207,624
1779,قاضی,12,371,349
1780,قاضی جهان,1,5,214
1781,قافلانکوه شرقی,1,400,460
1782,قافلانکوه غربی,1,400,799
1783,قاقازان شرقی,18,110,750
1784,قاقازان غربی,18,110,750
1785,قاهان,19,317,233
1786,قایدرحمت,26,153,295
1787,قایم آباد,16,421,398
1788,قبله ای,13,177,834
1789,قبله داغی,1,5,214
1790,قراتوره,20,192,673
1791,قرانقو,1,427,800
1792,قراولان,24,346,556
1793,قرق,24,350,105
1794,قرقری,16,433,438
1795,قره باشلو,11,174,181
1796,قره باغ,17,273,860
1797,قره بلاغ,17,299,384
1798,قره بلاغ,14,244,69
1799,قره بیشه,4,295,310
1800,قره پشتلوبالا,14,221,440
1801,قره پشتلوپایین,14,221,440
1802,قره چای,28,227,784
1803,قره چمن,17,273,22
1804,قره سو,2,166,607
1805,قره سو,2,370,609
1806,قره سو,22,329,814
1807,قره سو,3,382,1001
1808,قره سو شرقی,24,115,360
1809,قره سو غربی,24,115,360
1810,قره طغان,27,411,600
1811,قره قویون جنوبی,2,268,442
1812,قره قویون شمالی,2,268,620
1813,قره کهریز,28,259,443
1814,قره ناز,1,376,797
1815,قریه الخیر,17,170,171
1816,قزقانچای,8,305,20
1817,قزل آلان,24,356,526
1818,قزل اوزن,1,400,799
1819,قزل گچیلو,14,372,946
1820,قزوینه,22,337,819
1821,قشلاق,1,47,431
1822,قشلاق,1,333,5
1823,قشلاق,17,154,871
1824,قشلاق جنوبی,3,98,444
1825,قشلاق جیتو,8,310,950
1826,قشلاق شرقی,3,98,444
1827,قشلاق غربی,3,38,75
1828,قشلاقات افشار,14,151,41
1829,قصبه شرقی,11,228,642
1830,قصبه غربی,11,228,642
1831,قصلان,20,311,342
1832,قطب آباد,17,133,473
1833,قطرویه,17,417,446
1834,قطور,2,166,447
1835,قلایی,26,243,435
1836,قلتوق,14,221,942
1837,قلخانی,22,171,540
1838,قلعه,21,389,633
1839,قلعه,6,142,296
1840,قلعه بیابان,17,170,171
1841,قلعه تل,13,58,841
1842,قلعه جوق,14,372,53
1843,قلعه چنعان,13,320,853
1844,قلعه حمام,11,275,778
1845,قلعه خواجه,13,45,847
1846,قلعه دره سی,2,370,609
1847,قلعه زری,10,168,168
1848,قلعه شاهین,22,235,449
1849,قلعه عسگر,21,68,550
1850,قلعه قاضی,29,80,450
1851,قلعه قافه,24,404,760
1852,قلعه گنج,21,316,636
1853,قلعه مظفری,26,243,934
1854,قلعه میران,24,198,764
1855,قلعه نو,8,200,451
1856,قلعه هاشم,18,86,372
1857,قلقل رود,30,121,452
1858,قلندرآباد,11,298,453
1859,قمبوان,4,187,905
1860,قمرود,19,317,952
1861,قناتغستان,21,328,562
1862,قنوات,19,317,952
1863,قوچان عتیق,11,318,643
1864,قوری چای,20,188,676
1865,قوری چای شرقی,1,137,809
1866,قوری چای غربی,1,376,328
1867,قوری قلعه,22,208,377
1868,قوریگل,1,71,802
1869,قوشخانه بالا,12,274,455
1870,قوشخانه پایین,12,274,455
1871,قهاب جنوبی,4,37,886
1872,قهاب رستاق,15,172,47
1873,قهاب شمالی,4,37,886
1874,قهاب صرصر,15,172,47
1875,قهرود,4,322,454
1876,قهستان,10,175,457
1877,قهفرخ,9,271,426
1878,قیلاب,13,46,42
1879,کاخک,11,357,458
1880,کاری پی,27,54,549
1881,کارده,11,383,646
1882,کارزان,6,255,459
1883,کارواندر,16,148,659
1884,کاریزان,11,113,1034
1885,کاغذکنان شمالی,1,400,460
1886,کاغذکنان مرکزی,1,400,460
1887,کاکاشرف,26,153,928
1888,کاکان,23,89,691
1889,کاکاوندشرقی,26,181,461
1890,کاکاوندغربی,26,181,461
1891,کاکی,7,180,462
1892,کال,17,363,38
1893,کالج,27,414,597
1894,کامفیروزجنوبی,17,379,464
1895,کامفیروزشمالی,17,379,465
1896,کانی بازار,2,391,234
1897,کانی سور,20,61,1039
1898,کانی شیرین,20,192,474
1899,کاوه آهنگر,4,136,904
1900,کاه,11,173,884
1901,کاهشنگ,10,97,771
1902,کبگان,7,180,462
1903,کبگیان,23,89,466
1904,کبوترخان,21,207,624
1905,کبوترسرخ,4,136,904
1906,کبودگنبد,11,330,654
1907,کبیرکوه,6,387,518
1908,کترا,27,119,1033
1909,کتول,24,285,757
1910,کته سر خمام,25,204,235
1911,کتیج,16,301,467
1912,کجید,25,42,269
1913,کچو,4,21,885
1914,کدکن,11,114,469
1915,کذاب,31,35,231
1916,کراب,11,228,642
1917,کرات,11,111,638
1918,کرارج,4,37,886
1919,کرانی,20,96,470
1920,کرچمبوجنوبی,4,84,472
1921,کرچمبوشمالی,4,84,472
1922,کرخه,13,146,851
1923,کرزان رود,30,121,915
1924,کرسف,14,151,941
1925,کرشت,8,105,104
1926,کرغند,10,308,1051
1927,کرفتو,2,118,615
1928,کرک ونارتیج,21,75,80
1929,کرکس,4,408,899
1930,کرکوند,4,373,901
1931,کرگان,29,403,99
1932,کرگاه شرقی,26,153,928
1933,کرگاه غربی,26,153,928
1934,کرماجان,22,337,819
1935,کرند,24,359,243
1936,کرند,10,74,995
1937,کرون سفلی,4,123,476
1938,کرون علیا,4,123,476
1939,کره سنی,2,245,606
1940,کریان,29,403,723
1941,کریم آباد,8,103,382
1942,کزاز,28,259,785
1943,کسلیان,27,250,315
1944,کسما,25,277,579
1945,کشاور,2,261,477
1946,کشتگان,16,231,91
1947,کشکان جنوبی,26,143,378
1948,کشکان شمالی,26,143,378
1949,کشکسرای,1,378,798
1950,کشکوییه,21,207,478
1951,کشمیران,21,389,633
1952,کشور,26,153,117
1953,کشوری,6,52,684
1954,کشیت,21,328,524
1955,کفترک,17,273,860
